Timestamp,Where do you mostly run your Kubernetes clusters?,How do you currently manage the scale of your  Kuberentes Cluster? ,How many containers on average do you run per cluster?,Which metrics do you use to scale your pods and cluster nodes?,Which of these challenges do you face managing the scale of your cluster,How do you coordinate allocation of resources across services managed by different teams?,Would you like to hear from us and get survey results?,What's the best email to reach out to you?,How many nodes on average do you run per cluster?
7/13/2018 13:29:29,"AWS - Elastic Kubernetes Services, GCP - using Kubernetes Engine, On premise or private cloud - I don't use public cloud",Cluster Autoscaler,0 - 50,"CPU, memory, Network I/O, Custom metrics, i.e. latency or call rate of an endpoint",We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,6 - 10
7/3/2018 18:50:21,openstack,Cluster Autoscaler,more than 500,"CPU, memory, Network I/O, Custom metrics, i.e. latency or call rate of an endpoint",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,
7/15/2018 20:04:27,"GCP - using Kubernetes Engine, Alibaba Cloud","Cluster Autoscaler, Vertical Pod Autoscaler",0 - 50,"CPU, memory",We don't have issues managing the scale of our cluster or pods.,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,1 - 5 nodes
7/11/2018 23:32:08,On premise or private cloud - I don't use public cloud,None - my resources needs are mostly static.,200 - 500,"CPU, memory",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,11 - 20
7/16/2018 6:46:20,GCP - using Kubernetes Engine,"Cluster Autoscaler, Horizontal Autoscaler",50 - 100,CPU,We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,20 - 50
7/13/2018 0:19:24,AWS - I manage my own cluster(s),Horizontal Autoscaler,0 - 50,"CPU, memory, Custom metrics, i.e. latency or call rate of an endpoint",We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,6 - 10
7/3/2018 18:26:13,"AWS - I manage my own cluster(s), Azure - I manage my own cluster(s), On premise or private cloud - I don't use public cloud",Vertical Pod Autoscaler,200 - 500,"CPU, memory, Network I/O",We use monitoring to alert admin the resource usage  of the cluster.,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,
7/2/2018 20:13:58,AWS - I manage my own cluster(s),Cluster Autoscaler,50 - 100,"memory, Network I/O",We tend to under-provision and end up having performance issues in our applications,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,
7/2/2018 21:18:53,On premise or private cloud - I don't use public cloud,Horizontal Autoscaler,0 - 50,"CPU, memory",We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,
7/2/2018 22:04:14,AWS - Elastic Kubernetes Services,Cluster Autoscaler,50 - 100,CPU,We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,
7/2/2018 23:07:57,GCP - using Kubernetes Engine,None - my resources needs are mostly static.,50 - 100,"CPU, memory, Custom metrics, i.e. latency or call rate of an endpoint",We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,
7/3/2018 5:06:03,GCP - using Kubernetes Engine,Cluster Autoscaler,0 - 50,"CPU, memory",We tend to under-provision and end up having performance issues in our applications,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,
7/3/2018 7:14:38,GCP - using Kubernetes Engine,Horizontal Autoscaler,200 - 500,"CPU, Custom metrics, i.e. latency or call rate of an endpoint",We don't have issues managing the scale of our cluster or pods.,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,
7/3/2018 7:45:52,"Azure - using Azure Kubernetes Services, Azure - I manage my own cluster(s)","Cluster Autoscaler, Horizontal Autoscaler",0 - 50,"CPU, memory",We don't have issues managing the scale of our cluster or pods.,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,
7/3/2018 10:13:17,GCP - using Kubernetes Engine,Cluster Autoscaler,50 - 100,"CPU, Network I/O",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,
7/3/2018 16:43:48,"AWS - I manage my own cluster(s), On premise or private cloud - I don't use public cloud",Horizontal Autoscaler,0 - 50,"CPU, memory",Choosing a properly defined metrics to auto scale different micro-services is not a easy task,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,
7/3/2018 17:11:57,Azure - using Azure Kubernetes Services,Cluster Autoscaler,more than 500,"CPU, memory, Network I/O",We tend to under-provision and end up having performance issues in our applications,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,
7/3/2018 18:03:24,On premise or private cloud - I don't use public cloud,None - my resources needs are mostly static.,100 - 200,memory,We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,
7/3/2018 18:34:11,On premise or private cloud - I don't use public cloud,Cluster Autoscaler,0 - 50,"Custom metrics, i.e. latency or call rate of an endpoint",We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,
7/3/2018 19:10:05,On premise or private cloud - I don't use public cloud,Cluster Autoscaler,0 - 50,"CPU, memory, Network I/O, Custom metrics, i.e. latency or call rate of an endpoint",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,
7/3/2018 19:16:00,On premise or private cloud - I don't use public cloud,Horizontal Autoscaler,200 - 500,CPU,We don't have issues managing the scale of our cluster or pods.,"we have tenant manage, and tenant can in multiply cluster",Yes,anonymized ,
7/3/2018 19:19:49,GCP - I manage my own cluster(s),Horizontal Autoscaler,100 - 200,"CPU, memory",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,
7/3/2018 19:51:21,On premise or private cloud - I don't use public cloud,Horizontal Autoscaler,50 - 100,"CPU, memory",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,
7/4/2018 0:00:22,GCP - I manage my own cluster(s),Cluster Autoscaler,0 - 50,"CPU, memory, Network I/O, Custom metrics, i.e. latency or call rate of an endpoint",We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/4/2018 1:45:42,On premise or private cloud - I don't use public cloud,Cluster Autoscaler,0 - 50,"memory, Network I/O",We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/4/2018 1:58:19,Alibaba Cloud,"Cluster Autoscaler, Horizontal Autoscaler",50 - 100,"CPU, memory, Network I/O",We don't have issues managing the scale of our cluster or pods.,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,1 - 5 nodes
7/4/2018 8:49:09,GCP - I manage my own cluster(s),None - my resources needs are mostly static.,0 - 50,"Custom metrics, i.e. latency or call rate of an endpoint",We tend to under-provision and end up having performance issues in our applications,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/4/2018 18:58:42,On premise or private cloud - I don't use public cloud,Horizontal Autoscaler,0 - 50,CPU,We tend to under-provision and end up having performance issues in our applications,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,6 - 10
7/6/2018 15:40:34,On premise or private cloud - I don't use public cloud,Horizontal Autoscaler,100 - 200,memory,We tend to under-provision and end up having performance issues in our applications,tenants built on openstack,Yes,anonymized ,20 - 50
7/6/2018 21:32:30,On premise or private cloud - I don't use public cloud,None - my resources needs are mostly static.,50 - 100,"CPU, memory, Custom metrics, i.e. latency or call rate of an endpoint",We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,11 - 20
7/6/2018 22:45:21,"GCP - using Kubernetes Engine, GCP - I manage my own cluster(s)",None - my resources needs are mostly static.,0 - 50,"CPU, memory",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,1 - 5 nodes
7/7/2018 8:55:51,On premise or private cloud - I don't use public cloud,None - my resources needs are mostly static.,0 - 50,Network I/O,We tend to under-provision and end up having performance issues in our applications,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,1 - 5 nodes
7/8/2018 11:30:41,"AWS - I manage my own cluster(s), On premise or private cloud - I don't use public cloud",Cluster Autoscaler,200 - 500,"CPU, memory, Network I/O, Custom metrics, i.e. latency or call rate of an endpoint",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,50 - 100
7/8/2018 18:29:01,On premise or private cloud - I don't use public cloud,Horizontal Autoscaler,100 - 200,"CPU, memory",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,11 - 20
7/8/2018 22:47:48,QingCloud,None - my resources needs are mostly static.,100 - 200,"CPU, memory",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,6 - 10
7/9/2018 0:05:57,On premise or private cloud - I don't use public cloud,"Cluster Autoscaler, Horizontal Autoscaler",0 - 50,"CPU, memory",We tend to under-provision and end up having performance issues in our applications,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,6 - 10
7/9/2018 14:29:23,"AWS - I manage my own cluster(s), GCP - using Kubernetes Engine","Cluster Autoscaler, Vertical Pod Autoscaler",more than 500,"CPU, memory, Custom metrics, i.e. latency or call rate of an endpoint",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,50 - 100
7/9/2018 14:30:14,"AWS - I manage my own cluster(s), GCP - I manage my own cluster(s), On premise or private cloud - I don't use public cloud",Horizontal Autoscaler,0 - 50,"CPU, memory",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,1 - 5 nodes
7/9/2018 14:31:07,"AWS - I manage my own cluster(s), GCP - using Kubernetes Engine","Cluster Autoscaler, Horizontal Autoscaler",50 - 100,"CPU, memory",We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,6 - 10
7/9/2018 14:33:00,AWS - I manage my own cluster(s),Manual provision EC2,more than 500,"CPU, memory, Network I/O, Custom metrics, i.e. latency or call rate of an endpoint",We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,more than 100
7/9/2018 14:33:20,GCP - using Kubernetes Engine,Cluster Autoscaler,0 - 50,"CPU, memory, Network I/O",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,6 - 10
7/9/2018 14:37:36,GCP - using Kubernetes Engine,Cluster Autoscaler,0 - 50,"CPU, memory",We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/9/2018 14:42:42,GCP - using Kubernetes Engine,"Cluster Autoscaler, Horizontal Autoscaler",200 - 500,CPU,https://cloudplatform.googleblog.com/2018/02/get-the-most-out-of-Google-Kubernetes-Engine-with-Priority-and-Preemption.html is what we want,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,50 - 100
7/9/2018 14:59:11,GCP - using Kubernetes Engine,Vertical Pod Autoscaler,more than 500,"memory, Custom metrics, i.e. latency or call rate of an endpoint",We don't have issues managing the scale of our cluster or pods.,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,50 - 100
7/9/2018 15:24:50,"AWS - I manage my own cluster(s), GCP - using Kubernetes Engine","Cluster Autoscaler, Horizontal Autoscaler",0 - 50,"CPU, memory, Network I/O",We don't have issues managing the scale of our cluster or pods.,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,50 - 100
7/9/2018 15:44:24,"GCP - I manage my own cluster(s), On premise or private cloud - I don't use public cloud","Horizontal Autoscaler, Vertical Pod Autoscaler",0 - 50,"CPU, memory",We tend to under-provision and end up having performance issues in our applications,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,1 - 5 nodes
7/9/2018 17:02:07,On premise or private cloud - I don't use public cloud,None - my resources needs are mostly static.,0 - 50,"CPU, memory, Network I/O, Custom metrics, i.e. latency or call rate of an endpoint",We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/9/2018 18:22:10,On premise or private cloud - I don't use public cloud,None - my resources needs are mostly static.,0 - 50,"Everything, our internships always makes jokes when troubleshooting a problem, well we need those to prove it.",We tend to under-provision and end up having performance issues in our applications,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,6 - 10
7/9/2018 19:26:28,On premise or private cloud - I don't use public cloud,Horizontal Autoscaler,200 - 500,"CPU, memory, Network I/O, Custom metrics, i.e. latency or call rate of an endpoint",We tend to under-provision and end up having performance issues in our applications,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,20 - 50
7/9/2018 19:27:41,"AWS - I manage my own cluster(s), On premise or private cloud - I don't use public cloud","Cluster Autoscaler, Horizontal Autoscaler, Vertical Pod Autoscaler",200 - 500,memory,We don't have issues managing the scale of our cluster or pods.,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,20 - 50
7/9/2018 19:49:14,On premise or private cloud - I don't use public cloud,Cluster Autoscaler,50 - 100,"CPU, memory, Network I/O",We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/9/2018 20:34:12,GCP - using Kubernetes Engine,Cluster Autoscaler,0 - 50,CPU,We tend to under-provision and end up having performance issues in our applications,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/9/2018 20:42:05,Packet.net bare metal machines managed with kubespray,None - my resources needs are mostly static.,more than 500,"Custom metrics, i.e. latency or call rate of an endpoint",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,6 - 10
7/9/2018 20:47:47,"GCP - using Kubernetes Engine, On premise or private cloud - I don't use public cloud","Horizontal Autoscaler, Vertical Pod Autoscaler",100 - 200,"CPU, memory, Network I/O, DiskIO",We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,6 - 10
7/9/2018 21:47:29,On premise or private cloud - I don't use public cloud,Cluster Autoscaler,100 - 200,"CPU, memory",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,1 - 5 nodes
7/9/2018 22:17:36,GCP - using Kubernetes Engine,"Cluster Autoscaler, Vertical Pod Autoscaler",0 - 50,"CPU, memory",We tend to under-provision and end up having performance issues in our applications,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,6 - 10
7/9/2018 22:17:48,GCP - using Kubernetes Engine,"Cluster Autoscaler, Vertical Pod Autoscaler",0 - 50,"CPU, memory",We tend to under-provision and end up having performance issues in our applications,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,6 - 10
7/9/2018 22:20:44,GCP - using Kubernetes Engine,Horizontal Autoscaler,100 - 200,"CPU, memory",We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,11 - 20
7/9/2018 22:46:59,On premise or private cloud - I don't use public cloud,None - my resources needs are mostly static.,200 - 500,CPU,We tend to under-provision and end up having performance issues in our applications,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,20 - 50
7/9/2018 23:09:27,GCP - using Kubernetes Engine,None - my resources needs are mostly static.,0 - 50,CPU,We don't have issues managing the scale of our cluster or pods.,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,1 - 5 nodes
7/9/2018 23:24:59,On premise or private cloud - I don't use public cloud,Horizontal Autoscaler,0 - 50,"Custom metrics, i.e. latency or call rate of an endpoint",We tend to under-provision and end up having performance issues in our applications,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,more than 100
7/10/2018 0:17:30,"AWS - Elastic Kubernetes Services, GCP - using Kubernetes Engine",Cluster Autoscaler,0 - 50,"CPU, memory",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,6 - 10
7/10/2018 0:20:46,"AWS - I manage my own cluster(s), On premise or private cloud - I don't use public cloud, Digital Ocean, Scaleway","Cluster Autoscaler, Horizontal Autoscaler, Vertical Pod Autoscaler, Memory based autoscaler, custom metrics",more than 500,"CPU, memory, Network I/O, Custom metrics, i.e. latency or call rate of an endpoint",We tend to under-provision and end up having performance issues in our applications,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,20 - 50
7/10/2018 0:42:44,On premise or private cloud - I don't use public cloud,None - my resources needs are mostly static.,50 - 100,"memory, Network I/O, Custom metrics, i.e. latency or call rate of an endpoint",We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,20 - 50
7/10/2018 1:35:29,GCP - using Kubernetes Engine,None - my resources needs are mostly static.,0 - 50,"CPU, memory, Network I/O",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,1 - 5 nodes
7/10/2018 1:57:18,Openshift ,None - my resources needs are mostly static.,0 - 50,"CPU, memory",We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/10/2018 2:37:05,bare metal,None - my resources needs are mostly static.,100 - 200,"CPU, memory",We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,6 - 10
7/10/2018 4:30:38,On premise or private cloud - I don't use public cloud,Horizontal Autoscaler,0 - 50,"CPU, memory",We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/10/2018 5:06:00,"AWS - Elastic Kubernetes Services, GCP - using Kubernetes Engine, Azure - I manage my own cluster(s)",None - my resources needs are mostly static.,0 - 50,"CPU, memory, Network I/O",We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/10/2018 5:48:04,"GCP - using Kubernetes Engine, On premise or private cloud - I don't use public cloud, Huawei Public Cloud",None - my resources needs are mostly static.,0 - 50,CPU,We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/10/2018 6:07:52,AWS - I manage my own cluster(s),None - my resources needs are mostly static.,100 - 200,"CPU, memory, Custom metrics, i.e. latency or call rate of an endpoint",We tend to under-provision and end up having performance issues in our applications,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,6 - 10
7/10/2018 6:24:08,GCP - using Kubernetes Engine,"Cluster Autoscaler, Horizontal Autoscaler",200 - 500,"CPU, Custom metrics, i.e. latency or call rate of an endpoint",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,20 - 50
7/10/2018 6:56:37,AWS - I manage my own cluster(s),None - my resources needs are mostly static.,0 - 50,"CPU, memory",We tend to under-provision and end up having performance issues in our applications,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,1 - 5 nodes
7/10/2018 8:54:17,GCP - using Kubernetes Engine,Vertical Pod Autoscaler,0 - 50,CPU,We tend to under-provision and end up having performance issues in our applications,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/10/2018 14:09:28,"AWS - I manage my own cluster(s), GCP - using Kubernetes Engine","Cluster Autoscaler, Horizontal Autoscaler",100 - 200,CPU,We tend to over-provision and pay more than we should,"we have multiple services running in each cluster, but we don't really coordinate allocation of resources.",Yes,anonymized ,more than 100
7/10/2018 17:13:24,On premise or private cloud - I don't use public cloud,Horizontal Autoscaler,50 - 100,"CPU, memory",We don't have issues managing the scale of our cluster or pods.,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,11 - 20
7/10/2018 17:49:34,"AWS - I manage my own cluster(s), GCP - using Kubernetes Engine, On premise or private cloud - I don't use public cloud",Horizontal Autoscaler,50 - 100,"Custom metrics, i.e. latency or call rate of an endpoint",We tend to under-provision and end up having performance issues in our applications,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,20 - 50
7/10/2018 18:33:17,On premise or private cloud - I don't use public cloud,"Cluster Autoscaler, Vertical Pod Autoscaler",50 - 100,"CPU, memory",We tend to under-provision and end up having performance issues in our applications,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,6 - 10
7/10/2018 19:51:35,On premise or private cloud - I don't use public cloud,Cluster Autoscaler,0 - 50,"CPU, memory",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,1 - 5 nodes
7/10/2018 22:21:18,GCP - using Kubernetes Engine,"Cluster Autoscaler, Horizontal Autoscaler",0 - 50,"CPU, memory",We tend to under-provision and end up having performance issues in our applications,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/10/2018 22:21:56,"On premise or private cloud - I don't use public cloud, Aliyun",Cluster Autoscaler,50 - 100,memory,We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,6 - 10
7/10/2018 23:50:49,AWS - I manage my own cluster(s),Horizontal Autoscaler,100 - 200,"CPU, Network I/O",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,6 - 10
7/11/2018 5:25:11,On premise or private cloud - I don't use public cloud,Cluster Autoscaler,0 - 50,GPU,We tend to under-provision and end up having performance issues in our applications,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,6 - 10
7/11/2018 10:11:48,"AWS - Elastic Kubernetes Services, AWS - I manage my own cluster(s)","Cluster Autoscaler, Horizontal Autoscaler",more than 500,CPU,We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,20 - 50
7/11/2018 10:12:25,"GCP - using Kubernetes Engine, Rancher",Horizontal Autoscaler,50 - 100,"CPU, memory",We don't have issues managing the scale of our cluster or pods.,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,6 - 10
7/11/2018 10:13:11,GCP - using Kubernetes Engine,None - my resources needs are mostly static.,0 - 50,CPU,We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/11/2018 10:13:19,GCP - using Kubernetes Engine,"Cluster Autoscaler, Horizontal Autoscaler",50 - 100,CPU,We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,6 - 10
7/11/2018 10:13:24,manual,None - my resources needs are mostly static.,50 - 100,"Custom metrics, i.e. latency or call rate of an endpoint",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,6 - 10
7/11/2018 10:13:58,GCP - I manage my own cluster(s),Cluster Autoscaler,0 - 50,"CPU, memory, Network I/O",We tend to under-provision and end up having performance issues in our applications,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,1 - 5 nodes
7/11/2018 10:15:01,AWS - I manage my own cluster(s),Cluster Autoscaler,0 - 50,Network I/O,We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,1 - 5 nodes
7/11/2018 10:15:19,"AWS - I manage my own cluster(s), On premise or private cloud - I don't use public cloud","Cluster Autoscaler, Horizontal Autoscaler",0 - 50,"CPU, memory",We tend to under-provision and end up having performance issues in our applications,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/11/2018 10:16:52,"GCP - using Kubernetes Engine, Mail.ru Cloud - https://mcs.mail.ru",Horizontal Autoscaler,50 - 100,"CPU, memory",We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,1 - 5 nodes
7/11/2018 10:17:41,AWS - I manage my own cluster(s),"Horizontal Autoscaler, Vertical Pod Autoscaler",0 - 50,"CPU, Network I/O",We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,6 - 10
7/11/2018 10:18:00,On premise or private cloud - I don't use public cloud,Horizontal Autoscaler,50 - 100,"memory, Network I/O, Custom metrics, i.e. latency or call rate of an endpoint",We tend to under-provision and end up having performance issues in our applications,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,6 - 10
7/11/2018 10:27:30,"AWS - I manage my own cluster(s), Azure - I manage my own cluster(s), On premise or private cloud - I don't use public cloud","Horizontal Autoscaler, Vertical Pod Autoscaler",100 - 200,"CPU, memory",We tend to over-provision and pay more than we should,We manage them centrally and closely coordinate before making changes,Yes,anonymized ,11 - 20
7/11/2018 10:28:34,"GCP - I manage my own cluster(s), On premise or private cloud - I don't use public cloud",None - my resources needs are mostly static.,0 - 50,"CPU, memory",We don't have issues managing the scale of our cluster or pods.,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,6 - 10
7/11/2018 10:30:22,Using bare metal and kubernetes developer sources etc.,"no scale, just testing in qinikube",0 - 50,"CPU, memory, Network I/O, only sometimes","bare metal, test environments",We manage them centrally and closely coordinate before making changes,Yes,anonymized ,1 - 5 nodes
7/11/2018 10:35:41,Azure - using Azure Kubernetes Services,Horizontal Autoscaler,0 - 50,"CPU, memory",We tend to over-provision and pay more than we should,We don't have any coordination. Our clusters are single tenant,Yes,anonymized ,11 - 20
